Customer_ID,Customer_Name,Gender,Age,Area,Customer_Segment,Loyalty_Tier,Join_Date
C01254,Thomas Manne,Male,50.0,Civil Lines,Regular,Gold,2024-03-25
C13410,Harinakshi Sankaran,Female,68.0,Tonk Road,Regular,Gold,2018-05-06
C14096,Jeremiah Khurana,Male,24.0,Civil Lines,Regular,Gold,2019-08-17
C13879,Upasna Ravi,Female,31.0,Sodala,Regular,Platinum,2024-05-13
C07137,Reyansh Dutt,Male,32.0,Pratap Nagar,Regular,Platinum,2025-10-06
C07759,Alka Gopal,Female,28.0,Tonk Road,Regular,Silver,2018-06-15
C03797,Ronith Sharma,Male,52.0,Mansarovar,Regular,Silver,2019-10-31
C13071,Pushti Setty,Female,39.0,Jhotwara,Regular,Gold,2022-08-14
C10318,Teerth Babu,Male,55.0,Bapu Nagar,Regular,Silver,2019-07-04
C01023,Samesh Dubey,Male,31.0,Bani Park,Regular,Silver,2023-06-20
C07383,Darsh Chatterjee,Male,33.0,Bani Park,Regular,Platinum,2020-12-11
C11222,Jeremiah Khosla,Male,38.0,Shyam Nagar,Regular,Silver,2021-10-24
C00724,Omkaar Ben,Male,44.0,Civil Lines,Regular,Silver,2025-05-06
C04101,Triya Chacko,Female,22.0,Mansarovar,Regular,Silver,2019-06-15
C02956,Jairaj Om,Male,37.0,Bapu Nagar,Premium,Gold,2019-10-01
C01870,Naksh Srivastava,Male,60.0,Vidyadhar Nagar,Regular,Silver,2019-03-30
C13767,Lucky Andra,Male,57.0,Jhotwara,Regular,Gold,2019-04-28
C11816,Shivani Hayre,Female,47.0,Shyam Nagar,Premium,Silver,2019-07-28
C01062,Amrita Sachar,Female,52.0,Jhotwara,Premium,Gold,2023-12-13
C13550,Ronith Swaminathan,Male,31.0,Bapu Nagar,Regular,Gold,2021-02-18
C01371,Oscar Zachariah,Male,39.0,C-Scheme,Regular,Silver,2023-11-14
C13489,Ayush Nigam,Male,26.0,Vidyadhar Nagar,Regular,Platinum,2021-10-08
C08629,Chanakya Rege,Male,50.0,Raja Park,Regular,Silver,2024-06-01
C12818,Hemangini Chauhan,Female,53.0,Sodala,Regular,Silver,2018-06-02
C10598,Leela Kumar,Female,46.0,Raja Park,Regular,Silver,2024-08-07
C05881,Yochana Doctor,Female,25.0,Tonk Road,Regular,Gold,2020-11-20
C03588,Ekbal Saini,Male,32.0,Raja Park,Premium,Platinum,2024-02-20
C01582,Faras Mani,Male,56.0,Shyam Nagar,Regular,Silver,2019-07-31
C13308,Arin Gandhi,Male,34.0,Vaishali Nagar,Premium,Gold,2022-08-11
C08606,Rajata Soni,Female,29.0,Shyam Nagar,Premium,Gold,2018-10-04
C03689,Frado Vaidya,Male,54.0,Ajmer Road,Regular,Silver,2018-06-20
C12120,Hema Rana,Female,23.0,Ajmer Road,Regular,Gold,2018-03-30
C07744,Naksh Goda,Male,54.0,Bani Park,Regular,Silver,2025-03-31
C13836,Jai Raman,Male,22.0,Tonk Road,Premium,Platinum,2022-05-24
C07349,Gaurang Oommen,Male,51.0,Vidyadhar Nagar,Regular,Silver,2024-06-06
C05722,Riya Sandal,Female,30.0,Vaishali Nagar,Regular,Gold,2020-02-24
C11504,Naveen Korpal,Male,48.0,Ajmer Road,Regular,Silver,2019-02-19
C01280,Irya Palan,Female,58.0,Civil Lines,Regular,Silver,2021-08-26
C01730,Yasti Pathak,Female,38.0,Ajmer Road,Premium,Gold,2022-02-18
C08115,Christopher Chad,Male,31.0,Ajmer Road,Premium,Platinum,2025-02-15
C11787,Bimala Rajan,Female,28.0,Shyam Nagar,Regular,Gold,2019-03-13
C13829,Vritti Choudhry,Female,36.0,Mansarovar,Regular,Gold,2024-06-13
C14298,Keya Arora,Female,36.0,Civil Lines,Regular,Silver,2019-12-02
C09165,Umang Ben,Male,53.0,Pratap Nagar,Regular,Silver,2019-11-05
C01835,Dayamai Vaidya,Female,38.0,C-Scheme,Regular,Silver,2024-11-23
C08078,Nimrat Kashyap,Female,32.0,Bani Park,Regular,Gold,2018-11-17
C12138,Ekalinga Bhatt,Male,47.0,Vaishali Nagar,Regular,Gold,2025-11-29
C05007,Peter Dhawan,Male,40.0,Tonk Road,Regular,Silver,2021-08-21
C05487,Banjeet Biswas,Male,30.0,Civil Lines,Regular,Silver,2018-11-09
C00183,Hemangini Prabhu,Female,21.0,C-Scheme,Wholesale,Gold,2025-03-28
C11384,Veda Golla,Female,28.0,Bani Park,Regular,Silver,2023-07-31
C05439,Om Krish,Male,30.0,Mansarovar,Regular,Platinum,2023-10-08
C09613,Naksh Magar,Male,36.0,Jagatpura,Premium,Gold,2025-03-14
C10667,Yashoda Deep,Female,23.0,Bapu Nagar,Regular,Silver,2023-06-23
C02424,Wakeeta Krishnan,Female,38.0,Malviya Nagar,Premium,Platinum,2020-05-19
C03841,Nitesh Lad,Male,26.0,Sodala,Regular,Silver,2021-12-17
C13469,Ansh Pai,Male,36.0,Civil Lines,Regular,Platinum,2020-10-21
C01486,Devika Chopra,Female,31.0,Jagatpura,Regular,Platinum,2021-12-04
C02656,Rohan Raghavan,Male,27.0,Shyam Nagar,Regular,Silver,2020-05-07
C00138,Riya Badal,Female,53.0,Bapu Nagar,Wholesale,Silver,2024-04-21
C03383,Udyati Raval,Female,32.0,Jagatpura,Regular,Gold,2021-02-28
C08870,Shravya Zachariah,Female,58.0,Vidyadhar Nagar,Premium,Silver,2019-06-23
C07193,Hiral Garg,Female,30.0,Bani Park,Premium,Platinum,2024-07-06
C10040,Ekapad Tiwari,Male,42.0,Civil Lines,Regular,Silver,2022-09-04
C11954,Ansh Chaudry,Male,51.0,Shyam Nagar,Regular,Gold,2024-08-29
C14086,Omaja Parikh,Female,38.0,Raja Park,Wholesale,Platinum,2023-04-10
C14596,Ubika Dhar,Female,22.0,Bapu Nagar,Regular,Silver,2019-08-05
C05966,Widisha Mane,Female,39.0,Raja Park,Regular,Platinum,2023-10-04
C14759,Shivansh Sahota,Male,19.0,Vaishali Nagar,Regular,Silver,2024-05-06
C11962,Avi Saraf,Male,20.0,Bani Park,Premium,Platinum,2021-09-16
C02457,Anjali Bhargava,Female,28.0,Bapu Nagar,Wholesale,Platinum,2018-11-13
C04197,Kritika Ramaswamy,Female,49.0,C-Scheme,Regular,Silver,2024-12-27
C01674,Anay Kadakia,Male,38.0,Malviya Nagar,Premium,Silver,2018-02-09
C02969,Aahana Jaggi,Female,18.0,Civil Lines,Regular,Silver,2018-02-22
C03878,Charan Joshi,Male,43.0,Sodala,Wholesale,Gold,2023-09-01
C13549,Darsh Bal,Male,38.0,C-Scheme,Regular,Silver,2025-08-21
C02228,Warinder Sen,Male,56.0,Mansarovar,Regular,Silver,2021-01-30
C08099,Banjeet Pau,Male,27.0,Bapu Nagar,Premium,Silver,2022-07-20
C10971,Ijaya Ranganathan,Female,35.0,Durgapura,Regular,Gold,2020-11-24
C01472,Urvi Varughese,Female,29.0,Shyam Nagar,Regular,Gold,2021-12-04
C05705,Gaurangi Biswas,Female,34.0,Tonk Road,Regular,Gold,2025-01-26
C09694,Warda Mand,Female,42.0,Sodala,Regular,Silver,2019-10-07
C10560,Manbir Pillai,Male,45.0,Shyam Nagar,Regular,Silver,2019-02-20
C07984,Saanvi Narang,Female,21.0,Civil Lines,Regular,Silver,2020-08-15
C00335,Urvi Agarwal,Female,37.0,Shyam Nagar,Regular,Silver,2020-11-19
C06080,Eshana Sabharwal,Female,53.0,Tonk Road,Premium,Gold,2018-02-16
C04986,Gavin Iyengar,Male,49.0,Civil Lines,Regular,Silver,2024-05-02
C04082,Ikshita Raj,Female,44.0,Civil Lines,Regular,Gold,2021-10-22
C09175,Bhavini Sharma,Female,52.0,Vaishali Nagar,Regular,Silver,2021-01-24
C08698,Yauvani Mannan,Female,50.0,Jagatpura,Regular,Platinum,2018-03-17
C12320,Ojas Datta,Male,45.0,Shyam Nagar,Regular,Silver,2020-06-06
C07809,Indali Mukherjee,Female,35.0,Sikar Road,Regular,Platinum,2023-12-12
C02549,Om Verma,Male,49.0,Sodala,Regular,Silver,2018-10-12
C13457,Laban Srinivasan,Male,30.0,Jhotwara,Premium,Gold,2018-12-08
C10586,Gautami Toor,Female,44.0,Bani Park,Regular,Gold,2023-02-03
C09524,Neel Ganesh,Male,60.0,Shyam Nagar,Regular,Gold,2019-12-30
C10099,Anirudh Date,Male,31.0,Jhotwara,Regular,Platinum,2019-10-18
C11233,Geetika Kaur,Female,40.0,Mansarovar,Regular,Gold,2021-07-22
C05436,Lopa Devi,Female,39.0,Mansarovar,Regular,Gold,2023-05-29
C04600,Advik Bhattacharyya,Male,43.0,Vaishali Nagar,Regular,Platinum,2023-06-04
C03405,Omisha Cherian,Female,22.0,Bani Park,Regular,Silver,2023-01-17
C08591,Ishaan Vora,Male,42.0,Civil Lines,Premium,Silver,2018-05-23
C13454,Baljiwan Sengupta,Male,19.0,C-Scheme,Regular,Gold,2020-10-18
C09683,Aarush Bhagat,Male,41.0,Vidyadhar Nagar,Premium,Silver,2023-12-24
C03959,Zaitra Nadig,Female,50.0,Jagatpura,Regular,Gold,2018-11-17
C06487,Reyansh Pathak,Male,45.0,Ajmer Road,Wholesale,Platinum,2023-10-11
C00243,Tarak Datta,Male,18.0,Pratap Nagar,Premium,Silver,2020-10-19
C02478,Vaishnavi Walla,Female,31.0,Sikar Road,Regular,Silver,2020-01-03
C13085,Siddharth Ghose,Male,26.0,Durgapura,Regular,Gold,2018-08-12
C09460,Priya Krish,Female,45.0,Mansarovar,Regular,Silver,2022-11-04
C11754,Zinal Yadav,Female,43.0,Jagatpura,Regular,Platinum,2021-04-07
C14870,Ishaan Mittal,Male,41.0,Civil Lines,Regular,Gold,2021-05-08
C12297,Victor Sastry,Male,48.0,Malviya Nagar,Regular,Gold,2020-01-18
C08281,Daniel Chandra,Male,18.0,Raja Park,Regular,Silver,2025-10-25
C03330,Finn Bumb,Male,20.0,Durgapura,Regular,Silver,2023-05-05
C02048,Lavanya Naik,Female,58.0,Bapu Nagar,Premium,Gold,2022-12-12
C06293,Noah Mangat,Male,54.0,Vaishali Nagar,Regular,Silver,2022-04-15
C03786,Vinaya Sundaram,Female,41.0,Sodala,Regular,Platinum,2019-05-15
C02705,Arjun Sheth,Male,18.0,Vidyadhar Nagar,Regular,Gold,2025-01-29
C05844,Mekhala Naidu,Female,35.0,Shyam Nagar,Premium,Gold,2023-01-20
C07283,Laksh Bahri,Male,24.0,Vaishali Nagar,Premium,Platinum,2024-01-15
C06688,Neha Patel,Female,18.0,Sodala,Premium,Gold,2023-02-14
C00113,Aradhana Sama,Female,28.0,Ajmer Road,Regular,Silver,2018-08-03
C12102,Veer Kamdar,Male,44.0,Jagatpura,Premium,Gold,2025-05-16
C07842,Atharv Bhavsar,Male,37.0,Sikar Road,Regular,Gold,2018-03-03
C01629,Zashil Tiwari,Male,36.0,C-Scheme,Wholesale,Silver,2024-04-20
C03255,Finn Bath,Male,35.0,Vidyadhar Nagar,Premium,Silver,2021-03-25
C09166,Bhavya Murthy,Female,44.0,Vidyadhar Nagar,Premium,Gold,2022-04-04
C01953,Chaitaly Kapur,Female,28.0,Sikar Road,Wholesale,Silver,2022-08-13
C06612,Ria Nigam,Female,18.0,Sodala,Regular,Silver,2021-12-13
C00814,Shivani Setty,Female,24.0,Sodala,Regular,Platinum,2025-06-12
C01404,Zaid Acharya,Male,47.0,Sodala,Premium,Platinum,2018-09-25
C14034,Gayathri Venkataraman,Female,43.0,Pratap Nagar,Regular,Gold,2023-04-30
C13581,Prisha Raghavan,Female,47.0,Mansarovar,Regular,Silver,2021-08-31
C06548,Veer Chaudhuri,Male,29.0,Shyam Nagar,Regular,Platinum,2023-05-31
C09795,Shivani Dubey,Female,37.0,Sodala,Regular,Silver,2022-06-11
C05552,Dominic Thaman,Male,29.0,Vaishali Nagar,Regular,Gold,2020-02-09
C02380,Sai Trivedi,Male,40.0,Raja Park,Regular,Gold,2025-02-20
C04084,Amaira Nigam,Female,42.0,Raja Park,Regular,Platinum,2025-09-25
C02895,Alka Sastry,Female,41.0,Tonk Road,Regular,Platinum,2018-11-04
C01505,Vedhika Oza,Female,51.0,Shyam Nagar,Premium,Gold,2019-10-03
C14198,Quincy Khalsa,Male,69.0,Bapu Nagar,Regular,Gold,2020-02-11
C04103,Irya Om,Female,33.0,Malviya Nagar,Premium,Gold,2022-06-19
C03127,Zilmil Kumar,Female,24.0,Malviya Nagar,Regular,Silver,2024-04-30
C08717,Onkar Batra,Male,25.0,Bani Park,Premium,Silver,2019-06-02
C10613,Upasna Buch,Female,51.0,Durgapura,Regular,Silver,2022-09-02
C06430,Falan Mittal,Male,32.0,Raja Park,Regular,Gold,2021-02-23
C02182,Elijah Kashyap,Male,33.0,Shyam Nagar,Premium,Platinum,2022-05-05
C00759,Faqid Tak,Male,44.0,Mansarovar,Premium,Gold,2018-06-12
C01389,Frado Ratta,Male,35.0,Sikar Road,Regular,Platinum,2023-04-20
C03563,Sara Kalla,Female,18.0,Vaishali Nagar,Wholesale,Platinum,2019-04-05
C14046,Gabriel Kannan,Male,24.0,Bapu Nagar,Premium,Gold,2021-10-28
C11107,Sai Singh,Female,28.0,Malviya Nagar,Regular,Silver,2024-03-10
C00133,Udant Bera,Male,24.0,Vaishali Nagar,Premium,Silver,2018-12-02
C05123,Ayaan Madan,Male,47.0,Shyam Nagar,Regular,Silver,2024-09-15
C06726,Madhavi Chaudry,Female,41.0,Sodala,Regular,Gold,2018-06-19
C14474,Finn Varty,Male,48.0,Sodala,Regular,Silver,2024-10-20
C08830,Sathvik Bawa,Male,37.0,Malviya Nagar,Regular,Platinum,2019-01-04
C10897,Rohan Saran,Male,38.0,Jagatpura,Regular,Platinum,2022-05-08
C14583,Tanay Sekhon,Male,44.0,C-Scheme,Premium,Gold,2025-05-16
C08440,Pallavi Jain,Female,37.0,Civil Lines,Regular,Silver,2018-10-02
C09274,Akshay Jain,Male,39.0,Jhotwara,Regular,Gold,2021-10-20
C11061,Yashvi Dada,Female,41.0,Bani Park,Regular,Gold,2021-04-21
C01993,Victor Cherian,Male,43.0,Shyam Nagar,Premium,Silver,2025-11-10
C10053,Megha Palan,Female,18.0,Jagatpura,Regular,Silver,2021-06-01
C09513,Upasna Pandya,Female,18.0,Tonk Road,Regular,Gold,2018-01-17
C00670,Lohit Sarin,Male,37.0,Bani Park,Regular,Gold,2021-03-24
C02337,Indira Bedi,Female,37.0,Jhotwara,Regular,Gold,2022-07-16
C07468,Hema Ahluwalia,Female,19.0,Bapu Nagar,Regular,Gold,2024-04-12
C12229,Ekta Sawhney,Female,37.0,Mansarovar,Regular,Gold,2022-07-01
C08101,Vrishti Warrior,Female,29.0,Ajmer Road,Regular,Gold,2024-03-07
C14037,Peter Kale,Male,26.0,Pratap Nagar,Regular,Silver,2022-11-13
C09245,Faras Dayal,Male,43.0,Malviya Nagar,Regular,Silver,2022-05-24
C10645,Indira Atwal,Female,39.0,Jhotwara,Regular,Silver,2022-07-02
C04800,Gopal D’Alia,Male,39.0,Vaishali Nagar,Regular,Silver,2024-03-16
C03313,Nilima Mishra,Female,26.0,Malviya Nagar,Premium,Gold,2020-07-10
C04724,Oscar Chaudhary,Male,35.0,Durgapura,Regular,Gold,2021-01-16
C10972,Nilima Gokhale,Female,36.0,Vidyadhar Nagar,Premium,Platinum,2025-10-03
C12843,Amara Bawa,Female,36.0,Raja Park,Premium,Gold,2019-12-10
C06594,Tanish Kalita,Male,41.0,Bapu Nagar,Regular,Silver,2024-12-02
C07713,Udant Sahni,Male,62.0,Vidyadhar Nagar,Regular,Platinum,2018-01-30
C02429,Forum Patel,Female,41.0,Shyam Nagar,Wholesale,Platinum,2018-09-01
C14714,Rushil Sahni,Male,28.0,Raja Park,Regular,Silver,2022-07-23
C09583,Dominic Chandran,Male,45.0,Mansarovar,Regular,Silver,2020-12-19
C00259,Ikshita Sheth,Female,38.0,Bapu Nagar,Premium,Platinum,2024-12-06
C13404,Gayathri Chada,Female,28.0,Shyam Nagar,Premium,Platinum,2023-06-30
